Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Steven Stamkos        PIT   RW   C    32   6'1     194     51   50   120  89   83   83   76   75   69   91   85   72   76   76   76   41   45   85   73   78
Sam Reinhart          BUF   RW   C    26   6'1     190     52   50   120  80   84   81   75   78   73   90   83   94   83   67   74   66   73   81   75   78
Mitch Marner          TOR   RW   C    24   5'11    160     53   50   120  81   84   83   78   80   59   83   83   81   99   66   72   84   84   82   72   78
Mark Stone            PHI   RW   LW   29   6'2     205     53   50   120  81   82   83   78   82   75   81   83   78   68   68   77   79   74   82   78   77
Julien Gauthier       CAR   RW   LW   24   6'4     225     51   50   120  81   78   81   77   81   76   83   80   80   89   58   77   82   74   80   78   77
Nick Ritchie          PIT   RW   LW   26   6'2     232     54   50   120  76   74   75   76   80   76   85   84   69   85   69   78   73   76   75   77   76
Brendan Gallagher     NJD   RW   LW   29   5'9     184     59   50   120  79   75   79   77   79   69   79   75   67   85   73   78   63   74   77   75   76
Tyler Toffoli         LAK   RW   LW   30   6'1     200     58   50   120  80   79   78   78   78   71   78   61   80   78   66   78   56   73   79   75   75
Ryan Getzlaf          PHI   RW   C    36   6'4     221     54   50   120  75   80   82   77   74   70   79   54   75   78   78   84   50   79   79   73   75
Owen Tippett          CAL   RW   LW   23   6'0     200     51   50   120  79   77   77   76   77   73   81   79   88   81   52   77   74   72   77   75   75
Jean-Gabriel Pageau   SJS   RW   C    29   5'10    180     55   50   120  76   77   75   75   75   74   75   76   84   81   65   70   58   81   76   74   75
Bryan Little          FLA   RW   C    34   6'0     191     58   50   120  76   78   78   73   79   68   78   82   87   82   53   73   34   79   77   73   75
Brett Ritchie         DAL   RW   LW   28   6'3     220     54   50   120  76   73   76   75   75   76   76   87   72   82   62   74   75   77   75   75   75
Brandon Coe           TBL   RW   -    20   6'3     180     54   50   120  79   78   80   76   76   78   79   79   79   66   63   68   40   59   79   76   75
Andrew Shaw           PHI   RW   C    30   5'10    180     59   50   120  70   80   76   79   78   81   80   55   65   80   74   80   87   84   75   79   75
Zachary Senyshyn      BOS   RW   LW   25   6'1     192     55   50   120  73   76   76   74   75   69   79   78   88   76   58   75   73   76   75   72   74
Tyson Jost            LAK   RW   C    24   5'11    192     58   50   120  77   75   77   75   77   55   78   75   82   80   61   70   55   76   76   69   74
Michael McLeod        PIT   RW   C    24   6'2     188     55   50   120  76   77   78   73   74   70   80   82   84   64   55   73   76   74   77   72   74
Josh Leivo            UFA   RW   LW   28   6'1     204     55   50   120  77   73   75   75   75   68   75   78   78   82   65   74   76   85   75   72   74
Josh Bailey           UFA   RW   LW   32   6'1     210     55   50   120  75   78   75   75   75   67   75   70   87   76   56   76   46   85   76   72   74
Jordan Eberle         CHI   RW   C    31   5'11    181     51   50   120  77   75   81   67   79   58   81   76   79   75   71   81   42   79   77   68   74
Jonathan Marchessaul  NJD   RW   C    31   5'9     175     58   50   120  80   78   78   77   71   70   78   68   84   77   66   66   51   85   78   72   74
James Neal            STL   RW   LW   34   6'2     221     51   50   120  78   74   76   78   74   72   77   80   68   61   75   81   35   45   76   74   74
Émile Poirier         DET   RW   LW   27   6'2     196     56   50   120  75   75   76   76   76   77   76   76   71   65   69   76   77   73   75   76   74
Dylan Sikura          SJS   RW   C    26   5'11    158     56   50   120  74   73   76   76   76   54   77   76   91   77   59   76   78   78   74   68   74
Curtis Lazar          STL   RW   C    27   6'0     209     55   50   120  76   76   77   73   76   73   77   80   74   65   68   75   76   72   76   74   74
Corey Perry           PIT   RW   C    36   6'3     212     51   50   120  80   76   78   74   77   71   76   78   65   69   73   82   59   85   78   74   74
Connor McClennon      CBS   RW   LW   19   5'9     160     52   50   120  77   82   81   68   72   59   79   83   85   82   51   69   39   47   80   66   74
Alexander Kerfoot     PIT   RW   C    27   5'10    153     56   50   120  78   77   76   76   76   61   78   74   78   77   63   76   72   81   77   71   74
Zach Hyman            NYI   RW   C    29   6'1     205     54   50   120  73   73   74   74   74   75   74   72   77   78   63   74   59   84   73   74   73
William Carrier       VAN   RW   LW   27   6'2     212     54   50   120  73   75   75   74   74   75   75   78   73   76   63   74   75   74   74   74   73
Wayne Simmonds        PHI   RW   LW   33   6'2     185     54   50   120  78   74   75   84   78   75   73   57   65   65   75   84   70   74   75   79   73
Tyler Benson          EDM   RW   LW   24   6'0     201     56   50   120  77   77   76   74   75   69   76   75   70   75   51   78   77   85   76   72   73
