Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
David Pastrnak        CAR   RW   LW   25   6'0     181     53   50   120  84   82   83   75   72   65   83   84   81   85   63   75   76   82   83   70   77
Jakub Vrana           WAS   RW   LW   26   6'0     197     51   50   120  79   78   80   76   77   73   82   82   84   83   58   65   82   82   79   75   75
Martin Necas          WAS   RW   C    23   6'0     167     58   50   120  78   79   77   71   73   68   80   78   79   80   56   71   99   78   78   70   74
Ostap Safin           BAK   RW   C    23   6'5     192     55   50   120  75   73   75   72   70   65   75   74   78   75   52   77   75   76   74   69   72
Dmitrij Jaskin        RFA   RW   LW   29   6'2     217     54   50   120  69   69   72   74   73   73   74   59   84   75   61   74   42   84   70   73   72
Martin Kaut           OTT   RW   -    22   6'1     175     53   50   120  74   75   73   70   71   66   71   73   78   74   52   73   40   80   74   69   71
David Kase            SDG   RW   C    25   5'11    169     56   50   120  76   71   74   73   71   55   69   71   82   69   53   76   77   82   73   66   71
Matej Stransky        TEX   RW   C    28   6'3     205     55   50   120  68   54   75   73   74   72   76   61   70   70   60   73   76   82   65   73   70
Milan Michalek        UFA   RW   LW   37   6'2     227     55   50   120  72   70   66   73   70   62   77   55   75   66   61   67   10   70   69   68   69
Lukas Jasek           UTI   RW   LW   24   5'11    165     56   50   120  54   70   75   72   72   55   72   74   80   75   52   64   76   78   66   66   69
Tomas Vincour         UFA   RW   C    31   6'2     204     55   50   120  58   56   52   75   69   72   70   62   81   73   51   68   33   85   55   72   67
Andrej Nestrasil      UFA   RW   C    31   6'3     200     53   50   120  64   66   69   66   61   63   65   64   86   58   60   64   33   74   66   63   67
Vaclav Karabacek      UFA   RW   LW   25   6'0     199     53   50   120  49   53   71   54   71   66   66   76   64   71   55   67   74   84   57   63   65
Matej Toman           STO   RW   LW   21   5'10    155     56   50   120  56   60   62   61   64   54   75   69   77   77   48   50   73   71   59   59   65
David Tomasek         UFA   RW   C    26   6'2     185     53   50   120  55   57   72   53   62   75   54   45   74   64   52   53   74   70   61   63   62
Tomas Hyka            Draf  RW   LW   29   5'11    160     56   50   120  57   56   57   53   53   47   63   67   81   55   52   51   20   81   56   51   61
Ludek Frajtov         Draf  RW   LW   17   6'2     183     53   50   120  61   57   60   52   54   43   70   70   76   26   68   67   10   74   59   49   61
Kvetoslav Nahirni     Draf  RW   -    18   6'2     201     53   50   120  60   61   60   48   45   50   63   62   90   27   69   69   11   56   60   47   61
Krystof Matvichuk     Draf  RW   LW   21   6'3     192     55   50   120  51   55   49   60   54   61   64   63   73   36   69   69   26   81   51   58   61
Jeronym Neckar        Draf  RW   LW   18   6'3     220     53   50   120  60   61   58   49   52   47   65   61   78   34   68   65   13   92   59   49   61
David Kampf           UFA   RW   C    27   6'2     195     59   50   120  47   46   51   50   59   64   56   48   90   68   52   62   76   84   48   57   61
Adam Thiel            Juni  RW   -    20   6'0     202     53   50   120  61   53   63   44   56   48   61   66   83   48   61   49   28   61   59   49   61
Marian Horvat         Draf  RW   LW   18   6'1     181     53   50   120  54   53   55   52   45   48   65   56   88   38   65   61   15   85   54   48   60
Jaromir Franek        CHW   RW   LW   21   6'2     217     53   50   120  53   53   52   50   50   45   54   52   60   44   69   69   40   85   52   48   58
Ratislav Prucha       Draf  RW   LW   17   6'3     229     55   50   120  44   41   45   46   48   49   58   64   72   29   62   57   19   81   43   47   56
Matej Novak           Draf  RW   C    23   6'0     172     53   50   120  53   58   54   42   45   38   59   55   71   58   48   40   38   72   55   41   56
Dominik Slavik        Juni  RW   LW   19   6'0     203     52   50   120  55   70   57   37   40   44   53   44   88   25   58   48   13   71   60   40   56
Cenek Ropoch          Juni  RW   LW   19   6'4     233     54   50   120  54   52   55   43   42   53   49   51   52   40   59   76   50   85   53   46   56
Zbynek Loncarica      Draf  RW   -    21   6'2     187     54   50   120  55   36   50   40   48   53   46   70   52   29   51   74   46   58   47   47   55
Daniel Hejlik         Draf  RW   -    20   6'3     217     53   50   120  53   53   49   40   45   43   52   36   90   26   54   64   16   91   51   42   55
Mrej Sury             Draf  RW   LW   18   6'5     234     53   50   120  46   51   47   37   44   41   53   43   84   34   64   55   13   65   48   40   54
Lubomir Rezny         Juni  RW   -    20   5'10    156     51   50   120  50   48   51   33   42   31   51   51   84   47   53   42   27   78   49   35   53
Libor Kubesch         Juni  RW   LW   19   5'11    168     53   50   120  52   53   54   43   37   37   53   48   52   43   57   43   18   62   53   39   53
Vitezslav Bialy       Draf  RW   LW   20   6'5     209     54   50   120  46   40   44   45   36   56   49   52   55   23   55   64   34   59   43   45   52
Ivan Faimon           Draf  RW   LW   24   6'1     176     53   50   120  56   44   57   29   30   30   51   58   70   25   55   50   10   52   52   29   51
Dominik Kolovecky     Draf  RW   C    20   6'2     189     51   50   120  74   51   50   23   26   30   50   32   66   23   62   59   18   82   58   26   51
Zdeno Frank           Draf  RW   LW   21   5'11    168     54   50   120  45   35   41   45   52   38   40   49   55   32   50   37   42   69   40   45   49
Robert Dzmura         Draf  RW   LW   21   6'1     200     53   50   120  43   42   38   38   31   38   42   51   58   40   54   48   14   82   41   35   49
Karel Uhrin           Draf  RW   -    18   6'0     176     53   50   120  48   28   42   38   36   41   53   53   50   33   57   43   15   80   39   38   49
Eduard Barek          Juni  RW   C    18   6'1     201     53   50   120  44   40   41   40   37   39   42   42   55   36   56   45   18   85   41   38   49
Daniel Petruzalek     Draf  RW   C    22   5'6     137     53   50   120  41   44   42   41   43   18   57   42   69   31   59   24   26   58   42   34   48
Branko Jezbera        Draf  RW   LW   19   6'1     211     53   50   120  42   33   37   28   31   26   48   57   50   30   43   39   13   80   37   28   45
Tomas Hertl           SJS   LW   C    28   6'2     215     58   50   120  79   77   78   78   78   72   78   67   83   79   63   78   74   83   78   76   75
Ondrej Palat          STL   LW   RW   31   6'0     188     52   50   120  72   78   80   76   78   73   80   70   80   71   70   78   52   76   76   75   75
Filip Zadina          COL   LW   RW   22   6'0     196     51   50   120  83   81   80   73   74   69   82   82   82   82   56   69   58   72   81   72   75
Tomas Nosek           UFA   LW   C    29   6'3     210     55   50   120  72   73   74   75   74   69   75   68   81   76   67   76   65   70   73   72   73
Ondrej Kase           SDG   LW   RW   26   6'0     180     55   50   120  75   73   75   64   75   68   75   68   88   76   61   75   74   78   74   69   73
Dominik Simon         WIL   LW   C    27   5'11    176     56   50   120  75   76   76   78   76   55   76   75   85   64   58   78   77   81   75   69   73
Dominik Kubalik       CHI   LW   RW   26   6'2     179     57   50   120  65   58   76   77   75   80   72   76   78   78   60   77   78   78   66   77   73
Lukas Sedlak          UFA   LW   C    29   6'0     203     55   50   120  53   73   74   74   75   68   73   78   79   76   65   75   74   77   66   72   72
Jakub Voracek         FLA   LW   RW   32   6'2     214     52   50   120  75   80   82   71   72   65   82   52   72   63   72   81   41   81   79   69   72
Martin Frk            UFA   LW   RW   28   6'1     194     54   50   120  76   73   74   71   74   67   74   79   64   73   61   67   64   72   74   70   71
Jachym Kondelik       CHW   LW   RW   22   6'6     226     54   50   120  73   71   74   72   69   73   73   72   70   73   52   74   75   71   72   71   71
Jan Jenik             FLA   LW   RW   21   6'1     161     56   50   120  76   73   73   71   71   69   76   74   78   75   48   40   75   74   74   70   70
Rostislav Olesz       UFA   LW   C    36   6'2     215     55   50   120  61   58   67   72   75   73   76   60   76   72   54   68   37   70   62   73   69
Michal Birner         UFA   LW   RW   36   6'0     201     55   50   120  54   55   53   74   73   69   74   94   72   63   63   65   36   65   54   72   68
Jiri Tlusty           UFA   LW   C    34   6'0     209     51   50   120  73   70   74   73   69   63   75   54   76   69   57   59   31   79   72   68   68
Jakub Lauko           SPR   LW   C    22   6'0     169     53   50   120  71   72   73   70   70   66   73   72   75   71   50   42   75   77   72   68   68
Richard Nejezchleb    UFA   LW   RW   27   6'2     203     53   50   120  62   52   52   72   55   74   59   62   73   71   52   54   71   86   55   67   64
Radim Zohorna         BAK   LW   RW   26   6'6     209     59   50   120  49   50   63   52   64   58   70   70   86   57   45   70   70   84   54   58   64
Jaroslav Dvorak       STO   LW   RW   23   6'0     176     59   50   120  47   47   60   71   51   61   50   69   70   68   50   70   68   79   51   61   62
Jaromir Benda         Draf  LW   RW   18   6'3     212     51   50   120  76   56   61   37   36   40   63   63   85   37   67   67   12   67   64   37   60
Oskar Gelacak         TEX   LW   RW   20   6'4     223     54   50   120  51   56   49   46   48   73   43   63   56   57   60   70   70   92   52   55   59
Ferdinand Dorociak    Draf  LW   RW   17   6'4     210     53   50   120  58   54   56   47   45   50   61   65   56   31   68   69   10   76   56   47   58
Ondrej Machala        Draf  LW   RW   23   5'10    176     53   50   120  57   53   59   45   43   43   57   38   84   51   50   39   39   79   56   43   56
Valdemar Rozyna       Juni  LW   RW   20   6'2     220     53   50   120  51   51   57   35   35   43   64   66   62   29   63   54   19   83   53   37   55
Vitezslav Jaksch      Juni  LW   RW   19   6'2     205     51   50   120  60   47   52   31   34   35   51   50   59   31   59   63   12   86   53   33   52
Filip Helt            UFA   LW   RW   24   6'1     176     53   50   120  52   48   50   43   38   38   54   26   76   52   45   38   34   85   50   39   52
Tomas Chlubna         Juni  LW   C    19   6'1     186     53   50   120  48   46   53   44   47   35   52   44   60   27   59   35   19   67   49   42   51
Radislav Statstick    Juni  LW   C    19   6'1     131     53   50   120  43   44   42   41   41   29   49   51   73   34   63   24   16   66   43   37   50
Zdeno Stuscavage      Draf  LW   -    19   6'2     188     53   50   120  39   37   30   28   25   27   33   26   57   36   30   34   14   67   35   26   41
Lukas Radil           ROC   LW   RW   31   6'3     201     54   50   120  11   11   12   11   11   10   12   12   11   10   11   12   10   81   11   10   23
Petr Mrazek           TBL   G    -    30   6'1     184     55   50   120  77   76   77   75   77   77   75   78   80   76   71   70   31   73   76   76   75
Michal Neuvirth       UFA   G    -    34   6'0     209     55   50   120  75   75   75   75   75   75   75   67   76   74   63   74   33   76   75   75   73
David Rittich         UFA   G    -    29   6'4     202     51   50   120  73   72   72   72   73   72   69   63   76   72   64   68   31   82   72   72   71
Alexander Salak       UFA   G    -    35   6'1     189     55   50   120  74   74   73   74   74   74   74   61   76   72   62   63   29   85   73   74   71
Ondrej Pavelec        UFA   G    -    34   6'3     215     54   50   120  75   74   74   76   74   74   72   63   72   68   53   62   31   79   74   74   70
Matej Machovsky       UFA   G    -    28   6'2     191     53   50   120  75   75   71   74   75   74   66   76   73   54   54   68   36   79   73   74   70
Jakub Skarek          CHA   G    -    22   6'3     202     53   50   120  73   72   71   72   71   72   71   73   73   71   50   68   40   74   72   71   70
Vitek Vanecek         HER   G    -    26   6'1     187     53   50   120  73   74   72   74   74   73   65   62   77   60   50   64   40   76   73   73   69
Karel Vejmelka        UFA   G    -    25   6'3     202     59   50   120  69   70   70   70   69   69   70   57   76   66   50   70   40   77   69   69   69
Josef Korenar         BEL   G    -    24   6'1     175     50   50   120  70   68   69   70   71   62   68   69   76   69   55   70   40   74   69   67   69
Jiri Patera           CHW   G    -    23   6'2     209     52   50   120  72   73   72   73   73   74   63   65   76   62   48   64   40   74   72   73   69
Jakub Kovar           UFA   G    -    33   6'0     176     53   50   120  71   70   71   72   69   72   71   57   75   72   59   60   35   81   70   71   69
Daniel Vladar         UFA   G    -    24   6'5     185     57   50   120  69   68   68   67   68   68   68   65   81   67   58   68   41   79   68   67   69
Marek Mazanec         UFA   G    -    30   6'4     187     53   50   120  70   63   65   69   66   68   65   51   75   62   59   61   39   81   66   67   66
Marek Langhamer       UFA   G    -    27   6'2     193     53   50   120  68   65   66   65   67   64   65   64   70   63   60   55   26   84   66   65   66
Petr Kvaca            COE   G    -    24   6'1     174     52   50   120  63   61   62   62   62   55   62   61   75   61   47   60   40   70   62   59   63
Miroslav Svoboda      SAR   G    -    27   6'0     200     53   50   120  74   74   75   55   74   71   53   33   75   40   46   55   40   75   74   66   63
Tomas Vomacka         MIL   G    -    22   6'3     165     58   50   120  60   59   60   59   59   59   59   59   78   56   48   56   44   71   59   59   62
Lukas Dostal          STO   G    -    21   6'1     158     58   50   120  60   59   59   60   59   60   59   50   74   56   49   59   54   70   59   59   62
Patrik Bartosak       COE   G    -    29   6'1     193     59   50   120  59   60   59   60   60   58   58   38   74   56   53   51   35   84   59   59   61
Bohumil Kresek        CLE   G    -    21   6'1     197     52   50   120  67   67   62   59   49   50   66   61   78   42   46   46   40   85   65   52   61
Vit Melichar          Draf  G    -    20   6'2     201     58   50   120  50   52   45   51   41   54   56   50   90   31   62   57   14   45   49   48   57
Nick Malik            Juni  G    -    20   6'0     161     54   50   120  54   51   58   51   49   57   60   57   53   54   44   52   18   83   54   52   57
Vaclav Rapach         Draf  G    -    17   6'3     228     58   50   120  42   39   36   54   55   53   58   58   76   32   57   58   12   77   39   54   56
Leopold Schmid        Draf  G    -    19   5'10    170     58   50   120  58   56   54   39   35   38   61   53   55   35   57   41   12   88   56   37   54
Bedrich Pinter        Draf  G    -    22   6'6     227     58   50   120  47   44   47   47   48   46   47   31   70   26   63   54   18   66   46   47   53
Ratislav Mahay        Draf  G    -    17   5'6     151     58   50   120  46   45   43   54   45   19   59   57   71   37   58   23   15   62   44   39   52
Ales Stezka           Juni  G    -    25   6'4     190     50   50   120  44   44   47   49   45   49   48   37   74   46   47   44   39   77   45   47   52
Julius Maslej         Draf  G    -    20   6'1     127     58   50   120  46   49   45   36   45   27   47   44   91   38   59   18   20   76   46   36   51
Branko Holeksa        Draf  G    -    17   6'2     219     58   50   120  34   45   34   39   37   40   46   58   61   35   55   42   13   61   37   38   50
Libor Hájek           NYR   D    -    24   6'2     202     56   50   120  72   72   73   77   78   76   82   79   77   90   53   78   77   75   72   77   75
Michal Kempny         WAS   D    -    31   6'0     194     58   50   120  75   65   68   78   78   73   76   75   72   65   64   78   43   73   69   76   73
Martin Hugo Has       LHV   D    -    21   6'4     187     56   50   120  68   66   70   75   75   75   71   73   79   74   57   76   71   81   68   75   72
