Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Patrik Laine          WPG   RW   LW   24   6'4     206     51   50   120  88   86   87   73   73   69   82   81   85   91   70   74   63   85   87   71   78
Mikko Rantanen        PIT   RW   C    25   6'4     211     52   50   120  80   82   82   71   70   66   83   84   79   83   64   76   55   78   81   69   76
Eeli Tolvanen         NYR   RW   LW   23   5'10    170     51   50   120  81   80   80   74   69   57   81   81   83   82   49   75   83   83   80   66   74
Teemu Pulkkinen       COL   RW   LW   30   5'10    185     51   50   120  77   76   76   77   79   59   81   55   86   74   60   74   58   79   76   71   73
Otto Koivula          NYI   RW   LW   23   6'4     219     58   50   120  75   72   78   76   77   72   79   75   83   63   54   74   79   78   75   75   73
Kristian Tanus        EDM   RW   LW   21   5'10    162     55   50   120  76   78   75   77   75   53   75   74   82   76   55   74   40   62   76   68   73
Joel Armia            MON   RW   LW   28   6'3     205     54   50   120  72   75   74   74   74   71   74   74   78   71   67   74   46   83   73   73   73
Kaapo Kakko           BOS   RW   -    21   6'1     187     51   50   120  85   78   77   70   70   66   77   81   82   80   56   51   49   68   80   68   72
Joonas Donskoi        UFA   RW   LW   30   6'0     190     55   50   120  74   74   74   75   75   68   75   68   80   71   62   72   49   76   74   72   72
Jesse Ylonen          MIN   RW   LW   22   6'0     167     56   50   120  76   76   75   76   76   69   76   74   82   77   50   50   73   45   75   73   72
Jere Virolainen       MIL   RW   C    19   6'0     190     52   50   120  75   75   76   66   69   70   75   75   90   76   56   45   42   61   75   68   71
Markus Hannikainen    UFA   RW   LW   29   6'2     195     55   50   120  68   65   75   72   71   74   72   56   70   77   63   75   76   76   69   72   70
Kasper Simontaival    TOR   RW   C    20   5'10    172     53   50   120  77   77   73   70   70   53   74   73   65   75   57   69   41   71   75   64   70
Henrik Haapala        UFA   RW   LW   28   5'9     156     56   50   120  71   59   73   56   63   55   71   86   84   70   52   70   77   70   67   58   69
Iiro Pakarinen        UFA   RW   LW   30   6'1     215     59   50   120  63   57   66   70   70   75   70   49   85   57   62   69   42   79   62   71   68
Jonne Tammela         HAR   RW   LW   24   5'10    187     55   50   120  53   51   77   56   72   53   71   69   77   74   52   75   76   78   60   60   67
