Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Nikolaj Ehlers        FLA   RW   LW   24   6'0     172     88   72   90   80   81   85   75   76   71   88   87   81   80   67   63   58   84   82   74   78
Oliver Bjorkstrand    CBS   RW   LW   25   6'0     175     81   70   90   77   77   80   78   77   73   82   74   82   72   65   67   58   79   78   76   76
Nicklas Jensen        SYR   RW   LW   27   6'3     216     71   79   100  73   73   71   71   71   69   66   71   78   53   57   71   61   79   72   70   71
Borna Rendulic        UFA   RW   LW   28   6'2     200     69   75   100  62   60   66   69   68   68   66   62   77   61   63   65   41   78   62   68   68
Thomas Spelling       UFA   RW   LW   27   6'1     176     73   69   100  57   58   58   52   50   49   62   73   84   46   55   49   31   85   57   50   62
Jonas Rondbjerg       SAR   RW   LW   21   6'2     187     69   70   95   53   58   58   57   52   58   53   67   89   70   48   47   69   79   56   55   62
Jannik Hansen         UFA   LW   RW   34   6'1     195     75   74   100  72   71   75   74   75   69   75   68   84   54   57   76   28   85   72   72   73
Patrick Russell       UFA   LW   RW   27   6'1     206     74   66   90   64   56   69   56   70   67   69   70   87   76   58   63   75   75   63   64   69
Mikkel Boedker        UFA   LW   RW   30   6'0     211     75   67   90   64   69   72   73   73   63   72   52   83   59   58   65   10   73   68   69   69
Mathias From          BNG   LW   RW   22   6'1     187     69   72   90   69   69   70   68   70   63   71   70   70   62   52   70   69   73   69   67   69
Joachim Blichfeld     SJB   LW   RW   21   6'2     180     71   63   110  50   51   64   50   54   60   55   64   81   63   47   52   46   70   55   54   62
Frederik Andersen     TOR   G    -    30   6'4     230     79   74   90   79   81   80   81   80   80   79   60   78   78   67   77   30   79   80   80   77
Mantas Armalis        UFA   G    -    27   6'4     194     72   69   90   61   62   61   62   60   62   61   70   74   59   58   52   32   75   61   61   64
Adam Vay              UFA   G    -    26   6'5     228     70   70   95   54   55   55   54   54   55   63   53   76   55   51   62   27   83   54   54   61
Philip Larsen         UFA   D    -    30   6'0     182     68   77   100  60   61   65   70   69   65   76   78   63   51   56   67   28   72   62   68   68
Oliver Lauridsen      UFA   D    -    31   6'6     238     67   88   120  30   31   35   73   72   76   61   81   54   51   61   76   60   79   32   73   65
Markus Lauridsen      UFA   D    -    29   6'1     205     73   73   120  41   32   38   71   71   65   72   56   78   48   57   68   36   85   37   69   64
Malte Setkov          Juni  D    -    21   6'2     165     72   75   120  35   41   44   62   61   56   60   50   79   50   50   54   41   76   40   59   60
Andong Song           Juni  D    -    23   6'0     168     71   70   120  37   30   42   51   49   45   52   57   72   45   48   44   29   78   36   48   55
Frans Nielsen         CBS   C    LW   36   6'1     188     75   73   90   72   74   75   75   74   68   78   59   84   80   63   67   24   85   73   72   73
Lars Eller            WAS   C    LW   31   6'2     207     75   67   95   70   70   75   75   75   69   76   73   65   70   58   75   34   85   71   73   72
Peter Regin           UFA   C    LW   34   6'2     190     76   64   90   65   71   71   71   72   60   74   55   73   81   62   58   27   45   69   67   69
Nikolaj Krag Christe  SAR   C    LW   21   6'3     201     69   60   120  58   47   48   52   60   66   51   64   75   75   51   50   75   70   51   59   63
Mikkel Aagaard        BEL   C    LW   24   6'0     179     69   75   100  49   49   50   70   53   62   52   56   69   55   54   57   69   79   49   61   61
Mason Alderson        Juni  C    -    18   6'2     183     73   70   106  57   54   51   36   37   34   63   52   78   64   59   55   17   75   54   35   59
Marco Rossi           Juni  C    LW   18   5'10    184     78   72   80   55   56   66   44   39   29   56   42   87   61   47   32   38   70   59   37   56
