Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Nikita Kucherov       WPG   RW   LW   28   5'11    178     53   50   120  86   83   84   75   76   67   92   95   80   86   64   75   58   74   84   72   79
Vladimir Tarasenko    CHI   RW   LW   30   6'0     219     51   50   120  84   80   85   73   80   70   91   91   80   73   66   80   42   73   83   74   78
Andrei Svechnikov     CAR   RW   C    22   6'2     186     51   50   120  83   82   84   69   70   68   88   91   80   92   58   70   98   71   83   69   77
Pavel Buchnevich      VAN   RW   C    27   6'2     178     53   50   120  75   75   79   71   75   70   83   83   79   84   65   70   81   76   76   72   75
Evgeni Svechnikov     DET   RW   LW   25   6'2     199     53   50   120  80   80   83   72   81   67   83   82   69   71   61   78   82   77   81   73   75
Denis Gurianov        DAL   RW   LW   24   6'3     200     51   50   120  79   77   76   75   78   75   82   85   84   82   60   65   82   72   77   76   75
Alexander Burmistrov  UFA   RW   C    30   6'1     180     55   50   120  67   72   75   71   75   68   73   91   73   72   59   75   41   85   71   71   73
Nikita Popugaev       CHW   RW   LW   23   6'6     217     56   50   120  72   74   73   72   72   65   76   73   82   75   54   76   77   74   73   69   72
Alexander Delnov      MAN   RW   LW   28   6'0     189     54   50   120  75   75   74   71   74   67   75   75   77   67   55   74   75   78   74   70   72
Vasili Podkolzin      NYI   RW   -    20   5'11    165     51   50   120  83   80   80   67   73   59   81   76   70   72   48   65   43   96   81   66   71
Valentin Zykov        CHA   RW   LW   26   6'1     224     57   50   120  74   74   79   58   77   54   77   75   72   71   60   78   77   75   75   63   71
Sergei Shumakov       UFA   RW   LW   29   6'0     196     56   50   120  68   77   74   70   79   64   77   72   75   71   59   59   64   70   73   71   71
Renee Zerbaliev       BEL   RW   LW   18   6'2     192     53   50   120  76   72   72   72   69   75   71   74   75   54   68   69   48   68   73   72   71
Ilya Badanin          ONT   RW   -    22   6'3     179     52   50   120  75   74   72   67   63   61   72   72   80   72   69   67   40   79   73   63   71
Evgeni Dadonov        UFA   RW   LW   33   5'11    185     58   50   120  76   74   78   65   72   55   78   67   89   54   58   73   23   79   76   64   71
Kirill Nizhnikov      ONT   RW   LW   22   6'2     190     51   50   120  76   75   77   72   73   68   76   75   81   76   48   40   77   72   76   71   70
Anatoli Golyshev      UFA   RW   LW   27   5'8     178     58   50   120  55   75   76   63   76   55   78   75   68   76   50   78   75   73   68   64   70
Vladimir Kuznetsov    UFA   RW   LW   24   6'2     210     54   50   120  74   76   75   69   68   62   74   65   79   65   54   59   75   73   75   66   69
Mikhail Abramov       ONT   RW   C    21   5'10    152     53   50   120  73   73   73   62   64   52   73   73   89   74   56   50   40   83   73   59   69
Kiril Primakov        STO   RW   C    21   5'11    183     53   50   120  69   75   75   73   76   60   76   75   68   63   52   60   40   75   73   69   69
Viktor Tikhonov       UFA   RW   C    33   6'2     189     55   50   120  62   64   62   67   72   67   70   64   76   64   61   71   32   85   62   68   68
Artur Kayumov         RKF   RW   LW   24   5'11    176     56   50   120  54   54   73   76   61   51   75   74   77   75   52   76   77   70   60   62   68
Alexander Dergachev   ONT   RW   C    25   6'4     200     54   50   120  72   75   74   63   71   57   63   66   76   69   49   74   75   85   73   63   68
Nikita Korostelev     SYR   RW   LW   25   6'1     195     53   50   120  69   72   66   69   56   67   51   59   87   63   50   73   74   81   69   64   67
Dmitri Kugryshev      UFA   RW   LW   32   5'11    193     55   50   120  64   67   70   71   72   62   76   71   71   53   53   58   24   72   67   68   67
Vladimir Tkachev      SYR   RW   LW   26   5'10    146     56   50   120  65   57   76   42   76   40   76   76   76   61   50   76   77   84   66   52   66
Kirill Petrov         UFA   RW   LW   32   6'3     232     55   50   120  63   58   64   71   72   61   73   60   77   54   56   68   30   85   61   68   66
Denis Smirnov         UFA   RW   LW   24   5'10    185     56   50   120  54   69   73   48   69   54   61   69   80   75   51   68   75   78   65   57   66
Daniil Vovchenko      HAR   RW   LW   26   5'10    172     56   50   120  51   58   76   46   76   54   73   71   79   56   54   70   77   79   61   58   66
Stanislav Galiev      UFA   RW   LW   30   6'1     187     56   50   120  66   64   72   60   60   51   74   53   80   57   58   63   30   74   67   57   65
Kirill Maximov        BAK   RW   LW   22   6'2     192     53   50   120  67   50   57   71   60   67   62   54   81   69   45   72   74   75   58   66   65
Dmitri Sheshin        BRG   RW   LW   20   5'8     100     56   50   120  77   63   75   55   58   53   75   57   81   64   45   50   74   75   71   55   65
Andrei Altybarmakyan  RKF   RW   LW   23   5'11    183     53   50   120  75   51   52   72   70   49   55   67   63   73   48   75   73   79   59   63   64
Vladislav Kotkov      COE   RW   LW   22   6'4     202     54   50   120  55   55   60   66   54   74   52   54   81   74   49   51   75   70   56   64   63
Vladimir Macinko      Juni  RW   -    19   6'6     224     53   50   120  62   60   63   55   57   55   62   61   76   37   69   69   17   60   61   55   63
Daniil Miromanov      BRG   RW   LW   24   6'4     185     59   50   120  49   49   57   52   56   76   52   52   86   76   50   70   69   74   51   61   63
Alexei Toropchenko    SAR   RW   LW   22   6'3     187     54   50   120  62   51   51   67   70   66   55   61   70   71   48   52   76   76   54   67   63
Alexander Barabanov   UFA   RW   LW   27   5'10    190     56   50   120  54   70   64   59   55   55   70   33   93   71   55   49   45   76   62   56   63
Vitaly Rokhlin        BRG   RW   C    21   6'0     203     53   50   120  69   53   52   56   59   44   59   63   86   62   56   61   40   69   58   53   62
Sergey Nikitin        ROC   RW   LW   21   6'0     170     59   50   120  59   76   48   49   49   47   51   69   89   68   51   53   63   77   61   48   62
Pavel Rotenberg       UTI   RW   LW   22   6'0     179     53   50   120  72   50   58   54   56   65   52   55   80   71   49   50   75   71   60   58   62
Alexei Gainutdinov    Juni  RW   -    21   6'2     207     54   50   120  64   45   63   58   58   67   54   71   48   42   69   78   43   55   57   61   62
Semen Afonasievski    TOM   RW   LW   25   6'2     187     59   50   120  43   42   57   57   53   66   61   70   78   60   47   61   71   85   47   58   61
Ilya Mikheyev         UFA   RW   LW   27   6'2     190     56   50   120  51   54   55   47   49   46   59   78   89   56   57   54   37   75   53   47   61
Denis Mikhnin         GRD   RW   LW   22   5'10    166     51   50   120  55   57   73   60   51   50   56   41   71   70   52   59   66   72   61   53   61
Igor Bratus           Draf  RW   -    19   6'3     223     53   50   120  54   52   55   46   52   47   59   67   88   39   66   65   11   61   53   48   60
Denis Mingaleyev      UFA   RW   LW   27   5'10    172     53   50   120  51   52   62   55   49   41   61   49   80   60   55   47   44   70   55   48   59
Daniil Skorikov       Draf  RW   LW   23   6'4     188     51   50   120  61   51   55   54   50   46   56   66   77   56   48   48   42   74   55   50   59
Artem Bulygin         Juni  RW   C    18   6'1     190     53   50   120  50   52   57   43   43   43   61   59   90   40   60   54   16   71   53   43   58
Artur Tyanulin        UFA   RW   LW   25   5'9     174     52   50   120  50   49   50   59   53   51   53   44   70   70   54   40   70   72   49   54   57
Yegor Korshkov        Juni  RW   LW   25   6'4     180     56   50   120  56   55   58   54   41   42   52   50   68   48   48   50   35   76   56   45   56
Vyacheslav Leshchenk  UFA   RW   LW   27   5'11    168     56   50   120  58   54   55   42   42   39   59   30   77   63   59   49   30   79   55   41   56
Nikolai Chebykin      Juni  RW   LW   24   6'4     223     56   50   120  53   58   58   47   46   45   54   51   66   51   48   50   45   74   56   46   56
Dmitri Abramov        BAK   RW   -    20   5'8     153     53   50   120  53   47   52   50   53   40   52   52   64   59   63   40   40   53   50   47   56
Kirill Slepets        Draf  RW   LW   23   5'10    165     53   50   120  59   54   56   42   42   36   65   33   82   51   49   38   27   76   56   40   55
Gleb Donkin           Juni  RW   LW   19   6'6     226     53   50   120  51   51   44   46   34   45   52   47   78   33   64   62   19   79   48   41   55
Artem Ivanyuzhenkov   Draf  RW   LW   24   6'2     212     59   50   120  49   42   47   57   44   54   52   51   41   53   51   59   58   72   46   51   55
Sergei Agletdinov     Draf  RW   C    17   6'0     173     53   50   120  53   49   54   35   30   30   58   58   91   24   56   49   12   80   52   31   54
Juri Stanislavich     Draf  RW   LW   20   6'1     202     51   50   120  75   50   51   29   31   29   51   71   82   25   52   45   14   74   58   29   54
Dmitri Yujzycky       Draf  RW   LW   17   6'0     190     55   50   120  37   38   40   54   55   49   53   57   83   24   50   55   19   78   38   52   54
Nikolai Tonkov        Juni  RW   C    21   5'11    196     59   50   120  47   39   43   40   40   45   67   47   68   30   58   42   51   64   43   41   53
Ivan Kosorenkov       Draf  RW   LW   24   5'10    187     51   50   120  57   49   52   39   38   35   60   44   74   48   49   38   27   66   52   37   53
Dmitry Babenko        Draf  RW   LW   20   6'1     210     51   50   120  69   43   46   30   33   28   60   59   82   23   58   55   16   82   52   30   53
Artem Manukyan        Draf  RW   LW   23   5'9     144     56   50   120  53   58   55   34   39   35   57   39   70   47   51   35   40   74   55   36   53
Vladimir Khudorozkin  Juni  RW   LW   20   6'4     218     52   50   120  51   50   51   40   33   35   52   45   77   38   48   48   19   73   50   36   52
Nikita Sviridov       Draf  RW   LW   22   6'1     178     59   50   120  43   40   44   34   38   36   58   42   88   33   53   55   56   71   42   36   52
Vyacheslav Markhov    Draf  RW   C    17   6'2     193     54   50   120  43   40   45   36   39   64   40   55   39   35   51   60   38   73   42   46   51
Alexey Kysylyn        Draf  RW   LW   18   5'8     151     51   50   120  63   39   51   34   31   25   57   51   76   32   55   36   10   57   51   30   51
Pavel Klosovsky       Draf  RW   LW   20   6'1     144     53   50   120  42   43   43   43   38   21   47   61   74   31   58   22   15   81   42   34   49
Albert Shistyev       Juni  RW   C    19   6'0     204     53   50   120  44   42   42   36   30   29   50   37   72   27   55   50   25   76   42   31   49
Alex Ovechkin         WAS   LW   RW   36   6'3     239     51   50   120  88   78   84   72   70   78   91   99   75   58   74   90   31   79   83   73   78
Nikita Soshnikov      SJB   LW   RW   28   5'11    190     55   50   120  74   72   75   75   76   72   76   75   85   81   65   75   76   72   73   74   75
Nikita Gusev          DET   LW   RW   29   5'9     163     53   50   120  82   79   83   74   80   60   83   76   78   84   61   72   83   81   81   71   75
Anton Slepyshev       MON   LW   RW   27   6'2     194     51   50   120  77   73   77   78   79   76   81   77   78   83   59   79   85   81   75   77   75
Kirill Kaprizov       BOS   LW   RW   25   5'9     185     58   50   120  80   79   79   74   77   56   82   82   83   80   54   69   61   78   79   69   74
Ivan Barbashev        UFA   LW   C    26   6'0     180     55   50   120  72   73   73   73   73   67   75   91   77   73   61   77   75   73   72   71   74
Valeri Nichushkin     LAK   LW   RW   27   6'4     205     54   50   120  77   75   74   74   74   67   74   73   75   86   60   74   72   79   75   71   73
Roman Lyubimov        UFA   LW   C    29   6'2     207     55   50   120  73   66   75   74   74   69   76   92   84   65   61   74   52   71   71   72   73
Nikolai Goldobin      MIN   LW   RW   26   5'11    185     58   50   120  79   78   78   74   78   55   78   79   88   68   58   63   81   79   78   69   73
