Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Jesse Puljujärvi      MIN   RW   LW   23   6'4     211     55   50   120  79   82   82   80   75   71   81   85   89   87   64   83   64   75   81   75   78
Filip Forsberg        NAS   RW   LW   27   6'1     205     51   50   120  80   79   81   75   80   70   81   69   78   99   70   79   67   85   80   75   77
Mika Zibanejad        TBL   RW   C    29   6'2     222     53   50   120  77   80   81   78   81   78   81   75   81   75   61   77   54   84   79   79   76
Viktor Arvidsson      NAS   RW   LW   29   5'9     180     58   50   120  81   79   78   76   78   67   78   71   81   79   66   75   49   81   79   73   75
Lucas Raymond         CAL   RW   LW   20   5'10    165     53   50   120  79   76   81   73   74   58   79   82   85   79   49   73   42   64   78   68   74
Jesper Fast           NYR   RW   LW   30   6'0     188     55   50   120  76   75   75   75   75   73   75   70   80   76   64   74   47   73   75   74   74
Patric Hörnqvist      NYR   RW   LW   35   5'11    189     55   50   120  76   72   75   75   75   76   75   87   68   58   58   75   34   79   74   75   73
Gustav Nyquist        UFA   RW   LW   32   5'11    185     58   50   120  74   75   78   71   75   65   78   64   83   72   58   75   26   85   75   70   73
Carl Grundstrom       TOR   RW   LW   24   6'0     194     55   50   120  74   73   72   74   75   68   77   76   72   76   60   75   76   72   73   72   73
Jesper Bratt          TOR   RW   LW   23   5'10    174     56   50   120  76   75   75   73   69   62   76   74   85   76   66   61   77   67   75   68   72
Viktor Stalberg       UFA   RW   LW   36   6'3     209     59   50   120  65   60   72   77   73   76   79   74   73   64   57   77   45   77   65   75   71
Oskar Steen           BOS   RW   C    24   5'9     188     55   50   120  75   73   75   76   74   52   79   75   76   79   52   63   75   65   74   67   71
Max Friberg           UFA   RW   LW   29   5'11    200     55   50   120  73   69   74   70   74   62   76   60   78   67   70   70   71   77   72   68   71
Marcus Sorensen       UFA   RW   LW   30   5'11    175     56   50   120  68   74   76   73   74   57   74   89   75   70   59   62   49   79   72   68   71
Lucas Wallmark        CHA   RW   C    26   6'0     176     53   50   120  73   70   74   63   72   63   73   73   85   67   60   73   74   83   72   66   71
Jens Looke            SDG   RW   LW   25   6'1     180     56   50   120  74   57   76   58   75   70   74   75   82   75   55   76   75   81   69   67   71
Dmytro Timashov       TOM   RW   LW   25   5'10    190     56   50   120  72   76   76   69   72   54   65   63   82   70   59   70   77   84   74   65   70
André Petersson       RFA   RW   LW   31   5'9     175     56   50   120  76   72   76   61   60   55   77   99   82   55   54   59   28   75   74   58   70
Tobias Lindberg       UFA   RW   LW   26   6'3     215     54   50   120  60   63   68   70   70   62   75   83   77   64   60   63   52   84   63   67   69
Noel Gunler           COE   RW   -    20   6'1     185     53   50   120  73   75   74   71   66   65   73   73   52   62   69   58   40   66   74   67   68
Jonatan Berggren      HER   RW   C    21   5'10    181     54   50   120  73   74   69   70   71   50   75   73   77   62   48   54   45   73   72   63   68
Johan Ryno            UFA   RW   C    35   6'5     216     52   50   120  69   74   76   64   66   58   72   57   77   64   62   59   34   79   73   62   68
Daniel Bernhardt      IOW   RW   LW   26   6'3     194     53   50   120  70   52   68   71   69   74   66   67   82   54   50   68   74   85   63   71   67
Olle Lycksell         LHV   RW   C    22   5'10    163     53   50   120  49   73   67   55   56   52   74   73   79   74   50   73   65   73   63   54   66
Linus Weissbach       ROC   RW   LW   24   5'8     161     53   50   120  71   51   69   71   55   51   56   57   87   72   54   73   73   82   63   59   66
Filip Sandberg        UFA   RW   C    27   5'9     180     59   50   120  49   69   70   51   52   50   70   83   81   69   57   62   70   79   62   51   66
Anton Rodin           UFA   RW   LW   31   5'11    185     56   50   120  70   66   75   70   67   58   72   51   73   56   53   65   22   72   70   65   66
Petter Emanuelsson    UFA   RW   LW   30   6'0     200     59   50   120  54   52   52   72   73   64   71   59   89   52   54   61   24   73   52   69   65
Lukas Elvenes         CHW   RW   C    22   6'1     173     53   50   120  52   53   63   64   73   65   63   54   79   76   51   73   73   73   56   67   65
Linus Omark           UFA   RW   LW   35   5'10    187     58   50   120  72   73   76   59   58   51   78   50   80   53   56   50   33   77   73   56   65
Erik Walli Walterhol  BRG   RW   LW   23   6'1     179     59   50   120  68   47   70   51   70   62   68   70   70   65   48   70   70   71   61   61   65
Dennis Everberg       UFA   RW   LW   30   6'4     205     54   50   120  65   60   63   68   61   59   67   60   75   59   59   67   40   71   62   62   65
Daniel Zaar           UFA   RW   LW   28   5'11    177     56   50   120  71   63   61   58   58   54   59   74   78   77   55   54   77   82   65   56   65
Carl Klingberg        UFA   RW   LW   31   6'3     205     54   50   120  53   55   60   72   68   63   69   71   74   51   55   74   29   79   56   67   65
Oskar Back            TOM   RW   C    22   6'2     192     55   50   120  53   53   58   75   55   75   56   58   85   77   52   41   74   73   54   68   64
Nick Sorensen         RFA   RW   LW   27   6'1     182     55   50   120  61   62   64   64   64   58   67   61   74   55   54   57   34   82   62   62   64
Axel Melander         Juni  RW   LW   18   6'3     193     53   50   120  64   58   63   51   54   58   69   67   79   31   66   67   19   77   61   54   63
Patrik Standlund      PRO   RW   LW   21   5'6     157     53   50   120  63   75   62   57   51   40   71   68   66   66   61   40   40   87   66   49   62
Gustav Possler        UFA   RW   LW   27   6'0     183     53   50   120  53   67   56   58   55   59   58   61   82   67   52   49   45   77   58   57   62
Anton Karlsson        UFA   RW   LW   25   6'1     187     59   50   120  69   58   51   56   49   62   50   45   77   68   54   70   68   79   59   55   62
Victor Olofsson       Juni  RW   LW   26   5'11    173     56   50   120  60   54   59   50   48   42   63   66   87   56   56   49   30   76   57   46   61
Alexander Holtz       Juni  RW   LW   20   6'0     211     58   50   120  63   67   71   60   47   46   64   55   79   60   40   36   46   75   67   51   61
Samuel Fagemo         Juni  RW   LW   22   5'11    190     51   50   120  55   50   55   54   53   49   58   77   78   69   45   38   46   71   53   52   60
Linus Skager          BRG   RW   LW   22   5'10    145     53   50   120  58   57   72   39   48   34   68   69   80   59   50   55   30   72   62   40   60
Henrik Törnqvist      UFA   RW   LW   25   6'1     190     59   50   120  52   50   52   56   54   47   59   74   88   54   51   46   26   75   51   52   60
Bernd Sundqvist       Draf  RW   LW   22   6'2     209     53   50   120  61   62   63   52   50   49   69   53   64   25   66   68   15   69   62   50   60
Sebastian Collberg    UFA   RW   LW   28   5'11    195     53   50   120  54   53   56   49   51   49   62   62   81   51   56   52   37   79   54   49   59
Jonas Martinsen       Draf  RW   LW   19   6'4     226     54   50   120  54   49   54   49   55   71   46   72   45   31   67   78   38   76   52   58   59
Jonathan Davidsson    CLE   RW   LW   25   5'11    185     53   50   120  56   54   59   48   47   45   67   45   82   52   50   44   45   75   56   46   58
Kevin Elgestal        Juni  RW   LW   25   6'1     176     59   50   120  46   43   43   54   53   50   53   53   79   52   54   48   29   77   44   52   57
Jens Gundersson       HER   RW   LW   20   6'1     210     53   50   120  60   50   60   52   42   46   61   47   60   36   57   46   17   71   56   46   56
Simon Robertsson      Juni  RW   C    19   5'11    160     51   50   120  62   36   44   36   42   35   62   50   87   33   61   56   19   90   47   37   55
Patrik Aune           BEL   RW   -    21   6'2     203     53   50   120  57   49   51   55   44   40   48   55   56   45   55   55   40   86   52   46   55
Malte Stromwall       UFA   RW   LW   27   6'0     191     56   50   120  55   50   53   46   46   43   61   25   78   51   51   48   33   81   52   45   55
Johan Ottosson        Juni  RW   LW   18   5'11    177     51   50   120  60   42   53   45   36   36   62   63   68   40   59   36   17   97   51   39   54
Jesper Samuelsson     Draf  RW   LW   17   6'0     197     53   50   120  46   49   52   34   37   36   62   62   85   33   52   45   11   86   49   35   54
Jonas Dahlengren      Draf  RW   LW   19   6'1     181     52   50   120  43   55   50   42   40   40   51   54   68   27   60   47   18   59   49   40   53
Knud Svinhufuud       Draf  RW   LW   17   6'1     179     55   50   120  37   30   35   46   47   36   58   55   66   33   58   45   15   86   34   43   51
Ragnar Ortendhal      Draf  RW   LW   18   5'11    180     53   50   120  58   49   55   28   30   31   47   50   60   32   51   44   14   72   54   29   50
Jonas Lundgren        Draf  RW   LW   18   6'4     210     53   50   120  44   40   42   34   34   35   52   53   65   32   56   50   15   83   42   34   50
Fredrik Holmsvik      Draf  RW   LW   25   5'11    200     51   50   120  50   27   38   36   33   31   62   52   78   32   56   43   10   95   38   33   50
Otto Lagerroth        Draf  RW   C    17   6'1     182     53   50   120  31   27   42   31   25   21   40   54   86   35   48   40   12   83   33   25   46
William Eriksson      Draf  RW   C    17   6'1     192     53   50   120  35   27   40   30   28   22   42   40   69   20   36   27   12   91   34   26   42
Mats Jössi            Draf  RW   -    17   6'1     209     51   50   120  50   21   33   17   14   20   37   43   61   28   35   36   11   74   34   17   41
