Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Timo Meier            SJS   RW   LW   25   6'0     210     54   50   120  78   77   84   79   81   76   84   80   78   75   67   80   77   78   79   78   77
Nino Niederreiter     OTT   RW   LW   29   6'2     211     54   50   120  79   79   81   80   82   76   82   79   74   85   64   83   73   74   79   79   77
Sven Andrighetto      UFA   RW   C    29   5'9     188     56   50   120  76   73   77   70   76   58   75   80   78   68   59   75   64   73   75   68   72
Denis Malgin          MAN   RW   C    25   5'9     177     57   50   120  71   76   76   71   71   55   77   76   76   75   61   75   77   78   74   65   72
Tanner Richard        UFA   RW   C    29   6'0     176     55   50   120  61   74   76   69   75   69   73   77   68   76   57   75   76   73   70   71   71
Christoph Bertschy    UFA   RW   C    28   5'10    186     56   50   120  61   73   75   69   70   56   71   70   77   76   63   71   71   83   69   65   70
Joel Vermin           UFA   RW   C    30   5'11    192     56   50   120  66   67   71   66   70   59   75   64   88   63   59   62   54   77   68   65   69
Kay Schweri           UFA   RW   LW   25   5'9     175     52   50   120  49   75   56   69   54   50   72   68   82   72   51   53   73   84   60   57   64
Gernot Janosi         Juni  RW   -    21   6'2     208     52   50   120  54   52   61   47   54   56   63   59   60   35   60   62   17   76   55   52   59
Fabrice Herzog        UFA   RW   LW   27   6'2     176     53   50   120  54   53   57   57   50   54   56   52   76   56   54   50   42   80   54   53   59
Gilbert Nicosh        Juni  RW   LW   19   6'2     197     55   50   120  42   40   48   52   57   45   65   51   84   33   52   45   20   84   43   51   55
Kevin Fiala           NAS   LW   RW   25   5'10    193     53   50   120  78   79   83   74   80   59   82   87   68   84   68   70   65   84   80   71   75
Nando Eggenberger     LHV   LW   RW   22   6'2     185     54   50   120  74   73   74   72   72   71   74   74   82   75   54   71   89   78   73   71   72
Sven Baertschi        GRD   LW   RW   29   5'11    190     57   50   120  75   76   77   76   76   63   77   68   76   64   58   62   77   83   76   71   71
Denis Hollenstein     UFA   LW   RW   32   6'0     194     53   50   120  65   72   71   73   73   67   71   65   70   56   64   72   31   77   69   71   69
Philipp Kurashev      STO   LW   C    22   6'0     191     51   50   120  69   67   67   60   62   59   69   70   83   70   48   71   71   73   67   60   67
Gregory Hofmann       SPR   LW   C    29   6'0     200     53   50   120  72   58   62   57   55   66   65   73   79   67   57   54   67   73   64   59   65
Valentin Nussbaumer   SJB   LW   C    21   5'10    167     56   50   120  53   76   47   63   46   45   45   65   84   66   49   40   66   75   58   51   60
Damien Riat           Juni  LW   RW   25   6'0     172     55   50   120  47   50   53   55   54   48   54   26   75   56   56   48   34   79   50   52   56
Gilian Kohler         Draf  LW   RW   21   5'11    161     52   50   120  54   55   52   53   45   39   51   44   71   51   51   39   47   74   53   45   55
Frantz Ballweber      UTI   LW   C    20   6'1     184     52   50   120  53   62   48   43   42   40   50   61   87   34   41   45   19   81   54   41   55
Anselm Stangassinger  Draf  LW   C    19   5'11    194     52   50   120  40   38   46   19   31   27   45   43   57   32   35   23   17   53   41   25   43
Markus Fink           Draf  LW   C    19   6'3     226     51   50   120  41   30   28   23   14   23   39   33   54   32   32   43   10   77   33   20   40
Leonardo Genoni       UFA   G    -    34   5'11    190     53   50   120  72   74   72   74   72   72   74   69   76   71   62   62   36   77   72   72   71
Manfred Rzehak        Juni  G    -    21   6'0     197     58   50   120  70   68   69   68   67   62   67   69   79   47   69   58   18   70   69   65   68
Joren Van Pottelberg  GRD   G    -    24   6'3     187     50   50   120  71   70   70   70   68   70   66   69   75   55   48   70   40   82   70   69   68
Ari Rzehak            BNG   G    -    22   6'2     209     58   50   120  70   69   70   70   70   69   69   70   88   31   54   69   21   61   69   69   68
Thibault Fatton       LAV   G    -    20   5'11    143     53   50   120  75   73   72   70   66   51   73   70   82   46   52   53   40   66   73   62   67
Gilles Senn           UFA   G    -    26   6'5     191     54   50   120  55   55   55   56   55   52   55   48   74   49   46   55   32   75   55   54   58
Roman Josi            NAS   D    -    31   6'1     201     58   50   120  78   80   82   82   81   75   85   88   80   64   79   84   43   79   80   79   79
Mirco Müller          UFA   D    -    27   6'3     210     55   50   120  54   53   67   74   75   76   75   77   82   76   66   75   69   80   58   75   71
Romain Loeffel        CBS   D    -    31   5'10    181     58   50   120  71   72   73   78   78   64   73   68   75   50   59   72   38   75   72   73   70
Noah Delemont         RKF   D    -    20   6'1     170     57   50   120  70   60   62   74   76   70   74   77   77   68   50   77   75   82   64   73   70
