Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Charlie Coyle         VGK   RW   C    30   6'3     221     54   50   120  80   80   82   80   81   79   84   84   80   86   62   83   63   84   80   80   79
Vincent Trocheck      WPG   RW   C    28   5'10    182     58   50   120  83   80   78   77   77   73   79   80   84   79   72   74   75   77   80   75   77
Johnny Gaudreau       NJD   RW   LW   28   5'9     157     53   50   120  82   83   83   78   79   61   83   77   78   85   71   81   54   75   82   72   77
T.J. Oshie            WAS   RW   C    35   5'11    195     53   50   120  78   76   83   77   79   74   82   82   79   73   69   77   50   79   79   76   76
Sonny Milano          OTT   RW   LW   25   6'2     197     53   50   120  75   75   78   75   78   74   79   83   87   92   61   66   84   83   76   75   76
Patrick Kane          STL   RW   C    33   5'11    177     53   50   120  83   88   92   70   78   59   92   58   85   62   72   80   32   78   87   69   76
Kyle Okposo           FLA   RW   C    34   6'0     217     54   50   120  77   75   84   79   79   71   80   72   66   77   74   83   43   73   78   76   76
Jonny Brodzinski      LAK   RW   C    28   6'0     202     51   50   120  76   79   80   79   78   74   81   81   85   83   63   67   83   76   78   77   76
Brock Boeser          TBL   RW   C    25   6'1     191     51   50   120  85   80   82   77   81   73   83   70   78   71   64   75   72   82   82   77   76
Kieffer Bellows       CAL   RW   LW   23   6'0     199     51   50   120  79   77   80   79   76   72   81   82   68   82   58   81   82   74   78   75   75
Phil Kessel           ANA   RW   C    34   6'0     202     51   50   120  85   83   85   69   78   58   85   57   82   59   69   79   33   77   84   68   74
Luke Kunin            EDM   RW   C    24   6'0     191     58   50   120  76   77   78   77   76   71   78   69   80   71   58   72   77   75   77   74   74
Jimmy Vesey           VAN   RW   LW   28   6'3     203     58   50   120  76   75   75   75   78   71   78   64   80   79   67   74   59   85   75   74   74
Craig Smith           CAL   RW   C    32   6'1     208     55   50   120  76   74   75   77   75   67   75   75   78   68   73   75   45   73   75   73   74
Conor Sheary          EDM   RW   LW   29   5'8     175     57   50   120  74   78   77   77   78   62   77   77   85   66   65   77   38   77   76   72   74
Blake Wheeler         MIN   RW   LW   35   6'5     225     58   50   120  77   84   82   72   75   68   78   58   75   67   77   82   33   79   81   71   74
Austin Watson         NAS   RW   C    30   6'4     204     55   50   120  70   68   75   75   75   76   75   77   76   75   70   75   51   79   71   75   74
Adam Gaudette         FLA   RW   C    25   6'1     170     57   50   120  75   76   74   78   76   70   77   77   78   78   61   77   78   79   75   74   74
Tyler Pitlick         HAR   RW   C    30   6'0     202     55   50   120  68   66   75   75   75   74   75   75   78   76   63   75   56   74   69   74   73
Kevin Labanc          DAL   RW   LW   26   5'11    185     58   50   120  75   77   80   73   73   61   81   76   79   79   60   63   77   75   77   69   73
Justin Abdelkader     DET   RW   LW   35   6'1     219     54   50   120  72   72   74   74   74   76   74   73   67   74   68   74   46   77   72   74   73
Jeremy Bracco         RFA   RW   C    25   5'10    171     57   50   120  77   76   76   74   74   54   77   78   83   76   59   74   78   85   76   67   73
Christian Fischer     NAS   RW   C    25   6'2     214     54   50   120  80   73   75   75   71   70   75   63   79   75   63   75   76   70   76   72   73
Cam Atkinson          CBS   RW   LW   32   5'8     182     51   50   120  80   77   81   76   75   67   80   60   84   65   66   74   21   74   79   72   73
Anders Lee            VGK   RW   C    31   6'3     228     55   50   120  81   75   75   75   75   77   75   72   65   65   64   75   50   74   77   75   73
Patrick Maroon        VGK   RW   LW   34   6'3     230     54   50   120  76   72   73   74   74   75   74   79   60   62   64   74   62   77   73   74   72
Kailer Yamamoto       BRG   RW   C    23   5'8     159     58   50   120  77   75   77   72   75   55   77   78   79   75   54   67   77   74   76   67   72
Jordan Greenway       CBS   RW   LW   25   6'6     226     54   50   120  75   74   74   75   76   75   74   67   64   75   54   74   76   85   74   75   72
John Hayden           VGK   RW   C    27   6'3     223     54   50   120  74   72   74   75   74   75   74   73   65   75   62   74   75   82   73   74   72
Joey Anderson         BEL   RW   LW   23   5'11    190     57   50   120  74   74   76   74   77   54   77   77   80   71   55   71   76   82   74   68   72
Hudson Fasching       RFA   RW   LW   26   6'3     204     54   50   120  76   71   72   74   75   71   65   65   78   75   62   76   75   82   73   73   72
Cole Caufield         CBS   RW   C    21   6'1     150     55   50   120  75   76   75   77   75   68   75   76   76   68   63   61   41   79   75   73   72
Cole Cassels          UFA   RW   C    26   6'0     178     55   50   120  70   76   71   74   75   68   71   60   77   77   66   75   76   78   72   72   72
Bobby Ryan            ANA   RW   LW   35   6'2     209     55   50   120  76   73   75   75   75   72   75   55   78   70   59   75   40   74   74   74   72
