AUSTRIA
Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Brian Lebler          UFA   RW   LW   33   6'3     212     54   50   120  72   65   65   68   61   64   68   39   78   61   60   67   36   79   67   64   66
Frankl Höfler         Juni  RW   LW   19   6'1     195     53   50   120  57   41   51   43   40   47   61   63   61   32   63   45   28   63   49   43   55
Zelimir Lischka       Draf  RW   LW   19   5'7     167     53   50   120  45   38   38   29   37   23   44   59   70   33   46   16   14   75   40   29   46
Michael Grabner       UFA   LW   RW   34   6'1     185     55   50   120  77   69   73   75   75   65   75   95   84   71   60   75   38   77   73   71   74
Michael Raffl         VAN   LW   C    33   6'0     200     55   50   120  72   66   75   74   75   74   75   73   79   72   66   75   38   77   71   74   73
Werner Baumgartner    Draf  LW   C    18   6'3     198     53   50   120  55   54   53   37   34   35   47   56   88   29   55   50   11   79   54   35   54
Donato Reiter         Draf  LW   C    17   6'4     205     51   50   120  70   51   53   29   32   31   59   58   73   24   54   50   14   86   58   30   53
Manfred Prock         Draf  LW   C    20   6'1     177     53   50   120  45   46   47   34   31   39   46   64   74   39   52   45   14   70   46   34   52
Mario Altmann         UFA   D    -    35   6'4     216     54   50   120  28   40   33   74   70   70   63   43   74   45   56   71   10   79   33   71   59
Marco Rossi           CHI   C    RW   20   5'9     154     53   50   120  76   66   77   68   72   60   77   70   75   75   47   74   45   78   73   66   70
Lukas Haudum          Draf  C    LW   24   6'0     183     55   50   120  52   54   52   53   54   53   57   59   72   60   52   48   29   79   52   53   59

BELARUS
Name                  Team  Pos  Alt  Age  Height  Weight  POT  CON  GRE  SH   PL   ST   CH   PO   HI   SK   EN   PE   FA   LE   SR   FI   IN   OF   DF   OA
Maxim Sushko          LHV   RW   LW   23   6'0     181     53   50   120  71   71   73   73   71   64   74   75   80   70   50   73   74   71   71   69   71
Valeri Gubanov        Draf  RW   C    18   6'3     227     51   50   120  63   35   42   29   31   28   58   54   87   26   54   54   11   68   46   29   52
Leonid Marov          Draf  RW   -    19   6'0     172     53   50   120  43   42   45   37   42   33   57   47   79   33   54   53   17   80   43   37   52
Ilja Turkovsky        Draf  RW   LW   17   6'2     195     51   50   120  61   35   42   34   35   37   53   61   69   30   59   56   11   52   46   35   52
Andrei Kostitsyn      UFA   LW   RW   37   6'0     205     53   50   120  73   71   75   72   66   69   80   60   72   56   59   72   30   83   73   69   69
Sergei Kostitsyn      UFA   LW   C    35   6'0     196     56   50   120  68   72   75   67   69   58   76   44   86   65   50   65   47   72   71   64   68
Pavel Karnaukhov      UFA   LW   C    25   6'3     206     59   50   120  51   52   69   52   59   65   61   62   75   68   50   70   71   85   57   58   64
Daniil Misyul         SYR   D    -    21   6'3     190     56   50   120  41   40   41   75   75   75   74   72   67   77   68   76   76   80   40   75   67
Dmitri Korobov        UFA   D    -    33   6'3     230     54   50   120  45   46   53   71   73   71   70   70   75   48   62   71   34   79   48   71   65
Stepan Falkovsky      UFA   D    -    25   6'7     224     58   50   120  49   61   47   52   67   67   66   50   76   74   49   70   55   78   52   62   63
Samuel Knazko         Juni  D    -    19   6'0     170     58   50   120  58   57   58   64   56   66   66   70   71   59   51   52   59   78   57   62   63
